epoch,phase,train_loss,val_mse,val_mae,val_regret
1,warmup,0.1929552445660348,0.011052436164038172,0.08298655832881358,0.20950327385494957
2,warmup,0.00389175185674791,0.010326713104662833,0.07848998161950219,0.19899201504677647
3,warmup,0.0020330888012108452,0.0073983809431153,0.06890924377783911,0.04878191521555579
4,warmup,0.001471334258573787,0.0066951249609701335,0.06485814513610814,0.09821502126817619
5,warmup,0.001054850754397204,0.006421992897556455,0.06261754351487356,0.12128580408062223
6,warmup,0.0008157752889207844,0.0056445670388847475,0.058143456035585545,0.09760969014629399
7,warmup,0.0006579050838021843,0.008252917351062173,0.07044425282849749,0.16318566658110148
8,warmup,0.0005545808878402468,0.005267454763012591,0.05803948968871316,0.07885057736147341
9,warmup,0.0005451232973122265,0.005192559056067423,0.0568447909248409,0.08440201719371435
10,warmup,0.0004581567194314115,0.0059761606241965585,0.06015239711572875,0.123490294584928
11,warmup,0.0004185234559752068,0.006320390354237283,0.06248976437569554,0.1144051217767688
12,warmup,0.00042487110315932283,0.005502720374732153,0.05707348557884124,0.10597403486703277
13,warmup,0.0003764782228214596,0.004872743705801888,0.05492046183503386,0.09082075826624003
14,warmup,0.000351281187254792,0.0047130381876130155,0.05356406437149688,0.09276782658555781
15,warmup,0.0003107604071560201,0.005425106739250026,0.05860563173000492,0.10560792790805754
16,dfl,0.007841006377033848,0.006341658237237317,0.06250837037979222,0.11671074437596071
17,dfl,0.006327114740416932,0.0050641781070144545,0.054280693740097447,0.09149030147655275
18,dfl,0.006134402200370373,0.005544102183845478,0.057433123283310614,0.10129322725306474
19,dfl,0.006148789065198044,0.00568689302577804,0.05825233499783633,0.10770080897358937
20,dfl,0.006348740326759799,0.005021912355493726,0.05437116427764074,0.0945135024382865
21,dfl,0.006168483400918578,0.005812903235009663,0.05896192733476411,0.11033632111068425
22,dfl,0.006419300224634633,0.006311433827209134,0.061727382214878924,0.1173640103698378
23,dfl,0.006820932300642318,0.005434390548842529,0.056033701872202885,0.1027327601586333
24,dfl,0.006829194092264801,0.005632083516380291,0.05735691501967498,0.1087008402228908
25,dfl,0.00699760361353825,0.005161238279985959,0.054602854954662605,0.09408164430025673
26,dfl,0.007112035307875399,0.005117966963756663,0.055057771684629705,0.08750145405124997
27,dfl,0.0072505038089108464,0.005254807014977421,0.05503995074376242,0.09822699619793122
28,dfl,0.007652635500715466,0.005038817517403791,0.05415481935018924,0.08922691664566397
29,dfl,0.006808979003132563,0.004634640918029889,0.05188748161238966,0.07187383039117369
30,dfl,0.003950796403316025,0.0051337027828445405,0.05542165510801237,0.06935445359465406
31,dfl,0.0030348394954878032,0.005630647086837232,0.05866307356575532,0.065945205011086
32,dfl,0.002956412589083475,0.00636471493982835,0.0626712046674828,0.08372827225369957
33,dfl,0.003189796048043193,0.007232031531270538,0.06582812956576027,0.07936488113360855
34,dfl,0.0029389531032928276,0.013953844874179852,0.08556385905440174,0.058649557340007714
35,dfl,0.0026916894455584965,0.02438582620347169,0.10539793228702758,0.046346375436199315
36,dfl,0.00381415125792489,0.03054712912234575,0.11711638342978349,0.06313345559420437
37,dfl,0.002716014739184353,0.037165801652443056,0.12855069261433474,0.04384683353033433
38,dfl,0.003325584839743698,0.0268645618847613,0.11354509368538857,0.059032031136422435
39,dfl,0.003309157876374127,0.02984092132285682,0.11946428494889345,0.0604731751980906
40,dfl,0.005411741030462146,0.049753829044526195,0.15299385680413957,0.05223945734493344
41,dfl,0.0031314716036739956,0.02712739276380014,0.12676461869433744,0.04914926129159105
42,dfl,0.0015525018383240898,0.03383644361660552,0.14326928416962054,0.032893141791999425
43,dfl,0.0012076112241561914,0.03473702848041013,0.14612443950861248,0.027325714974939554
44,dfl,0.0007578965256179137,0.03697152654014861,0.15052911405687902,0.03210593648441657
45,dfl,0.0009682344654054311,0.04081276827839328,0.1589810125974577,0.03691183045750439
46,dfl,0.0012551411932802284,0.058800844392224924,0.19697876263465455,0.019064388279838935
47,dfl,0.0012895560072808344,0.05860208737344217,0.1957420384817159,0.02730000312333605
48,dfl,0.001265254459935766,0.13338171352229233,0.30182399050290903,0.021436471777660563
49,dfl,0.0013894571328709891,0.10648069867113633,0.26392747417314727,0.014593453387519799
50,dfl,0.0011513820622710154,0.1774633239621102,0.352378030599498,0.011433192090923661
51,dfl,0.0007621926260949282,0.20669339937783443,0.3836519977272446,0.010541085885323362
52,dfl,0.0016964535381677058,0.21492218587603143,0.3912202281071179,0.0268299211337993
53,dfl,0.004474095948250492,0.12505864998353505,0.2869823290340936,0.027655137522566264
54,dfl,0.0064497983092788175,0.1670211977533885,0.3263041562776067,0.033488045488048325
55,dfl,0.008700509483438734,0.36391597730455116,0.5171807343835262,0.028874403582069216
56,dfl,0.006581425039594022,0.11401760795000773,0.2479989159463057,0.04418527606810415
57,dfl,0.0065615031933509375,0.11289760770637598,0.24983094221175606,0.04761293779499432
58,dfl,0.005659905469905888,0.16500651171959158,0.30795488061744775,0.04588897400330396
59,dfl,0.004513311037752566,0.3125454431483105,0.44899239935981694,0.04187602332104458
60,dfl,0.004551285015520948,0.31768822847907224,0.4476623237133026,0.0550374763596624
61,dfl,0.00475907161622616,0.33391855896186473,0.4532203296227242,0.041665537276037244
