epoch,phase,train_loss,val_mse,val_mae,val_regret
1,warmup,0.03166886181270584,0.00647182808407068,0.06183647782778117,0.03886594319679553
2,warmup,0.004697413500548401,0.009552329026315528,0.074744805387819,0.09466955367245089
3,warmup,0.0028439148706488355,0.007672565246397045,0.06858558578889316,0.031546022538744035
4,warmup,0.002055857382409525,0.006047846833695727,0.05890564708066965,0.0555437828202705
5,warmup,0.0016572265458588047,0.006874795390185274,0.062167436315386154,0.050584073804161765
6,warmup,0.0014410925544348365,0.0071299466927389876,0.06408250159514484,0.05363349649741761
7,warmup,0.0013338740344722795,0.007535924737988068,0.06791722759215245,0.038597738854669744
8,warmup,0.0011043822680924776,0.00697289310037784,0.06455039080065578,0.04223944661487676
9,warmup,0.0010782817241028785,0.006618609736628357,0.062321628040787,0.03408899856543967
10,warmup,0.000985881133759603,0.007568890082045222,0.06723347617619073,0.029302053611102687
11,warmup,0.0006465667836545478,0.006030214340130646,0.05969204132292253,0.036068194403223494
12,warmup,0.0006398045445997163,0.006640289167338398,0.062391189135499854,0.03677419089108841
13,warmup,0.000629448855231537,0.006570349226761332,0.061944655851641696,0.04299908952372056
14,warmup,0.0006247032379127611,0.006653164966473245,0.06188971912071331,0.04634983678440235
15,warmup,0.0005959885953309233,0.006456915217924362,0.060965801199981524,0.05186791136943883
16,dfl,0.004947795719529671,0.007152301662014241,0.06470960701134668,0.033310415644730564
17,dfl,0.0029213584138888006,0.007122582108748437,0.06518740885293306,0.02469370114793953
18,dfl,0.0023140473351787945,0.007584198976609745,0.0680325303171108,0.026958645696714117
19,dfl,0.0022763793682285165,0.008036095289332764,0.06923582613356967,0.02975733509631923
20,dfl,0.0018235749675048801,0.008980001375920124,0.07422441405369275,0.02682892916427862
21,dfl,0.001710746996029117,0.008858786929753233,0.07429533854905349,0.02259630698120133
22,dfl,0.001604534135888097,0.009075772721813853,0.0741166323979399,0.0313645282422202
23,dfl,0.0014266719367837196,0.009301119248570402,0.07554803097815212,0.024581675414069717
24,dfl,0.001359677565730243,0.009321738825068433,0.07542911472160425,0.0249937446184429
25,dfl,0.0010690536312111755,0.009731800335376009,0.07809693049361456,0.022103155572732423
26,dfl,0.001132130733209504,0.010153771416325844,0.07947098010622744,0.02470508792107263
27,dfl,0.0011790063934546471,0.010995026507567781,0.08413244194504041,0.01792413660511027
28,dfl,0.0011895303490445683,0.012830277334954312,0.09222641120206064,0.018453178537034112
29,dfl,0.0009908916048390933,0.01333966115732858,0.09332810203308489,0.01828996235118795
30,dfl,0.0007861217324400959,0.01413429069068672,0.09735919585201278,0.010718334693619772
31,dfl,0.0008161643912331192,0.017604097920303135,0.10499435132230396,0.013925294217147187
32,dfl,0.0008149312508303869,0.02430576095427039,0.12129039225627238,0.01078259330613186
33,dfl,0.0006682384840131771,0.02981871078068863,0.12834431800935694,0.01217081518031469
34,dfl,0.0008772453045952951,0.048437517880003396,0.1559297162761439,0.011520921855269229
35,dfl,0.0008027838284439311,0.04647476416526001,0.1457259074520709,0.016223563202850108
36,dfl,0.0006884729473325939,0.06068057526570203,0.16070171278804096,0.008229486001676093
37,dfl,0.0007152408526800722,0.058416852077691636,0.15513492572997042,0.012881921024642513
38,dfl,0.0006579679189721404,0.1203852611135191,0.20585477457784895,0.013876676798523177
39,dfl,0.0007598606861773776,0.22677648380926962,0.2831917888860204,0.014940959252977445
40,dfl,0.0005972476019145566,0.27560442654805173,0.3133086351427569,0.013370800739490978
41,dfl,0.0005167324055582358,0.23153879533785937,0.2863048530225433,0.011152170306219764
42,dfl,0.0005118977726365288,0.24128094300238498,0.3017027183477558,0.01683892345806556
43,dfl,0.0004786210392941037,0.32303073000051635,0.3633050494896832,0.017006891831184857
44,dfl,0.0005408059799880421,0.405090113830711,0.42309065585705774,0.02070685503897256
45,dfl,0.00048558720408878157,0.45692610671854955,0.46244468484351886,0.021284613159959512
46,dfl,0.000579388865240739,0.46286341627197924,0.47044066150686636,0.021201773258204114
