epoch,phase,train_loss,val_mse,val_mae,val_regret
1,warmup,0.00785008733664934,0.003329939188943036,0.04510862352465516,0.08466326680524223
2,warmup,0.003279488549061662,0.0041537415627181645,0.049620691381061253,0.04626322690824936
3,warmup,0.002105747116729617,0.00806865026243031,0.06599511242290931,0.06180299586771098
4,warmup,0.0015240892662251946,0.0076181563807637505,0.0641158702713785,0.06223281520260825
5,warmup,0.001138341007640074,0.007953765694357788,0.06503792458783779,0.05699802089108757
6,warmup,0.0009235628244352295,0.008104255172743727,0.06570411556914671,0.04517780111977891
7,warmup,0.0008052826566143608,0.007434209576310979,0.06302032158223551,0.062286447802925166
8,warmup,0.0005510718207408515,0.008163789551315912,0.06678893925872312,0.07302742572709807
9,warmup,0.0005027788919243435,0.007581367739041878,0.06520043285702591,0.08483820980234044
10,warmup,0.00044264838894984376,0.006925904427901772,0.061920539114568664,0.06527590524956395
11,warmup,0.00040433130725789086,0.007292284279255502,0.06430347298563861,0.0886998437614347
12,warmup,0.00035127889494090774,0.006472255396500313,0.06068915409494692,0.08231652283917465
13,warmup,0.0003113822410445979,0.007175593232082676,0.06365424725435563,0.09674819729488222
14,warmup,0.0002359962208752999,0.007025453843238916,0.06337973400394419,0.09155051621776543
15,warmup,0.00022738885443595027,0.006738551326770224,0.062097555457322456,0.08835668687769707
16,dfl,0.004412089603002054,0.008076830304908886,0.06841715516995138,0.02237489107123545
17,dfl,0.004001350099622764,0.01360118421447922,0.09353576961960365,0.06571761922483592
18,dfl,0.0035578747810192097,0.3163114919591306,0.48553414820735136,0.0069439266550957585
19,dfl,0.004911125230835302,0.06691628632677803,0.2011034090016315,0.013503224629684793
20,dfl,0.006130575287013936,0.12144652980643866,0.27851883288639695,0.006509229132573759
21,dfl,0.005255977828767778,0.08490337171494516,0.2384812460461659,0.013746762825705255
22,dfl,0.004563896693123227,0.0971224943259314,0.23715595161514497,0.02222557454582268
23,dfl,0.003968924138831573,0.12863463663787983,0.28210289220311746,0.026003790789016407
24,dfl,0.0033453939469648246,0.16986225128396235,0.3117920635129089,0.0286533187741925
25,dfl,0.009799976730251672,0.16822573701058752,0.3176516053169521,0.004536931779620684
26,dfl,0.0076565808790429,0.23583879193930485,0.39171355451220896,0.014705000802474496
27,dfl,0.006511249075977949,0.31493366737641504,0.4468943748011518,0.00315652892817552
28,dfl,0.00388631670439434,0.45497552561226173,0.5246658327419367,0.005746691482272581
29,dfl,0.014534872910217758,0.5959379334947956,0.6423482474551272,0.01931459655402725
30,dfl,0.024248530781868304,0.8404822591970216,0.809659515743825,0.06139900451899617
31,dfl,0.029888285523872685,0.7701098480776175,0.7762494656577039,0.03665501772688438
32,dfl,0.030935821701910775,0.656823023931304,0.6984740371134743,0.04554875028830494
33,dfl,0.017019552050577168,0.8237548061271212,0.8224634265721734,0.056157391127190245
34,dfl,0.005317744257248481,0.8172775195605719,0.829319050507759,0.07703102839421724
35,dfl,0.003179716831473521,0.7002489593491625,0.7499305036530566,0.015257727586808259
36,dfl,0.004396611312424401,0.6685857643832022,0.6841807663440704,0.0015313718447317508
37,dfl,0.003549683937706527,0.5742016468030303,0.6355162147265762,0.000355481382858168
38,dfl,0.008882540726937973,0.7602652978541246,0.76652308831464,0.037979859115952044
39,dfl,0.013582359690995104,0.6979426583692209,0.7218891404457947,0.02577501168902859
40,dfl,0.01855247860454174,0.5809503154300931,0.6355175246943289,0.01746140018413052
41,dfl,0.0034763421608557067,0.5647623276532586,0.6185811150874665,0.008395023197106556
42,dfl,0.0057458027232643915,0.7502283711931599,0.7757827537273293,0.024123525317782647
43,dfl,0.014518495380755104,0.7185556930837347,0.7559523295555541,0.024483541236139588
44,dfl,0.007626769402932729,0.7272362386557594,0.7632881151651268,0.03390662532731754
45,dfl,0.006389740935813608,0.7110269280956752,0.750630389176198,0.021445421788471388
46,dfl,0.005700462179386498,0.6657114713939268,0.7201138759282097,0.02323722270446171
47,dfl,0.005251296356569017,0.5761568868782982,0.6508003849146972,0.012581892148895648
