seed,best_val_regret,best_epoch,train_minutes,test_mse,test_mae,test_rel_regret,test_peak_reduction,test_lp_regret
0,0.020295775581532203,18,276.17092678149544,0.07904180139303207,0.22231264412403107,0.29475802183151245,20.074386596679688,0.41666194790824307
1,0.0010900812039157,43,337.82780079841615,0.5971521735191345,0.6398909687995911,0.11114431172609329,27.195716857910156,0.2352479625143878
2,0.002763385466069075,25,263.562508503596,0.9459047913551331,0.8681166172027588,0.3342893421649933,18.9930419921875,0.35671804414819874
