phase,epoch,val_mse,val_mae,val_regret,epoch_seconds
warmup,1,0.009038632200447037,0.07551983791167166,0.13864815932239838,153.7813777923584
warmup,2,0.007014904469216882,0.06397990500137432,0.11170428146694793,130.78806519508362
warmup,3,0.005357542695519306,0.055208722407470885,0.08188611384456866,125.46590900421143
warmup,4,0.005381553065476578,0.05671246409583003,0.0847594866061274,130.63362503051758
warmup,5,0.005379039378934053,0.05634549635448562,0.09785721879695723,123.92577910423279
warmup,6,0.005118973249979595,0.054540789533239695,0.10094100159246287,118.70038771629333
warmup,7,0.0051025038497320915,0.05457929374455516,0.09851248448570397,115.7884771823883
warmup,8,0.004565939227720278,0.052158414344511815,0.06231483808322374,115.50883197784424
warmup,9,0.0044569993263923685,0.05250568387668524,0.057245596715096214,114.33690905570984
warmup,10,0.004074993820030437,0.04869464367850503,0.07133738868925768,117.0462019443512
warmup,11,0.004583105195570848,0.0522058949347085,0.07629245024957106,116.99874901771545
warmup,12,0.0039884659505984394,0.048945380346988566,0.05820919580941363,127.74973201751709
warmup,13,0.004107891898619623,0.04809870633449572,0.06752664344441736,119.3804349899292
warmup,14,0.003514439690295162,0.044486374121659726,0.04983505124084277,121.54896998405457
warmup,15,0.0042573849389541535,0.04930968753604302,0.07217791377229672,120.35060000419617
dfl,16,0.011998618428192255,0.06543883914822962,0.05803685991003164,125.51811003684998
dfl,17,0.02353668702182485,0.08242244476369068,0.037268213418462724,127.10532784461975
dfl,18,0.04134689222798863,0.11321380662161913,0.04437423112247063,127.49059414863586
dfl,19,0.07414619580133637,0.19890195142422148,0.05861152111858463,137.21602416038513
dfl,20,0.06114913211829627,0.15425361325936532,0.0560370830577601,138.3163709640503
dfl,21,0.08006636603777088,0.18342765053706384,0.057579031670331404,126.36241912841797
dfl,22,0.122245080602258,0.24135105322990844,0.05994572068383021,118.02298593521118
dfl,23,0.18875594781850702,0.308370540168748,0.050567766596181334,120.5149519443512
dfl,24,0.15350691167943514,0.26880031623947087,0.06507159502083894,121.0328118801117
dfl,25,0.13181715002700464,0.25482848497913846,0.062324229726453184,120.54899001121521
dfl,26,0.1166054339551214,0.21087318614347658,0.03945983904568086,120.14971899986267
dfl,27,0.12982312901251353,0.25625225690318576,0.11439040032868732,120.62565469741821
