epoch,train_mse,val_mse,val_mae,epoch_seconds
1,5.16707806974669,0.006363204720346674,0.0633474588394165,1328.0789051055908
2,0.004969783395073335,0.007409552566588981,0.06744299083948135,1370.1156208515167
3,0.0023424811770618747,0.010311667240961497,0.08056376874446869,1302.6637592315674
4,0.0017190817383784837,0.009402098550301378,0.07658927887678146,1332.8849358558655
5,0.0013225053883329895,0.007079103633625877,0.06500633805990219,1354.2250261306763
6,0.001063733823547641,0.008179797148053993,0.07043630629777908,1477.8888931274414
7,0.0009243720090184051,0.008568197503553898,0.07260771095752716,1562.8490307331085
8,0.0006093061525630949,0.008913620149216322,0.07425776869058609,1308.8563210964203
9,0.0005583412961799269,0.008006004627043409,0.06985955685377121,1284.78129196167
10,0.0005339165833716645,0.008056621631492735,0.0704537183046341,1331.9322950839996
11,0.0005172953821451784,0.00858297705808446,0.07340768724679947,1314.8758299350739
