phase,epoch,val_mse,val_mae,val_regret,epoch_seconds
warmup,1,0.013990189817581159,0.09185511346406011,0.27168106579624896,122.11715412139893
warmup,2,0.006427851800959724,0.06225335403387226,0.10463477998958147,118.45179176330566
warmup,3,0.00899778518811869,0.07447696757961565,0.16355666708211594,121.56653380393982
warmup,4,0.005985237569843572,0.06071761350578336,0.10705688665968491,120.45412802696228
warmup,5,0.0055566366063430905,0.05690130595562618,0.10642319650488294,123.71700716018677
warmup,6,0.004811988803801307,0.05222198728527596,0.0892930408898887,121.69329190254211
warmup,7,0.006103813395411499,0.05959242608731807,0.11775264428900693,119.44497203826904
warmup,8,0.004874635103798069,0.05400499953096038,0.08808344116276665,117.70556807518005
warmup,9,0.004987299354545383,0.05400882277693322,0.09697603962384355,127.18639421463013
warmup,10,0.005216841798783072,0.05495705961513875,0.0591030518945214,116.16633224487305
warmup,11,0.00547593283473945,0.05679492941543238,0.10570809765590299,122.68952178955078
warmup,12,0.006571029692561602,0.06237942943655288,0.12171028341351724,118.17782807350159
warmup,13,0.004477832028503294,0.050460706951458066,0.07218837459422231,119.14386487007141
warmup,14,0.0041671273752060065,0.0485090527044081,0.060060711547996457,121.69771385192871
warmup,15,0.003941640437670997,0.04763224975331061,0.059958297101852014,117.11880803108215
sspo,16,,,0.04850140465182381,121.68299317359924
sspo,17,,,0.049850250560354394,131.01993894577026
sspo,18,,,0.04851201808025453,126.6915271282196
sspo,19,,,0.050776975598393025,123.48413801193237
sspo,20,,,0.05227030319670053,121.48663592338562
sspo,21,,,0.048237069775984596,122.62778902053833
sspo,22,,,0.04363728620717041,121.743891954422
sspo,23,,,0.04954647640603179,131.69159603118896
sspo,24,,,0.04528557136972498,123.60593724250793
sspo,25,,,0.0469135415024308,124.267746925354
sspo,26,,,0.042184073797148246,128.4379961490631
sspo,27,,,0.04402094214994115,126.98959374427795
sspo,28,,,0.04180077807052555,126.84666013717651
sspo,29,,,0.047813762555852554,125.710520029068
sspo,30,,,0.04642440840352584,122.63147187232971
sspo,31,,,0.04541108986447411,125.30114603042603
sspo,32,,,0.04441105837748237,124.85693407058716
sspo,33,,,0.04610887991749671,125.9173059463501
sspo,34,,,0.044235209607375425,128.99311900138855
sspo,35,,,0.04723229427213143,127.70221900939941
sspo,36,,,0.04454984969876267,126.91494393348694
sspo,37,,,0.041734013983475066,130.25394892692566
sspo,38,,,0.04354751863565437,139.2257580757141
sspo,39,,,0.04366647153107412,127.14918303489685
sspo,40,,,0.04605193961026034,127.79303002357483
sspo,41,,,0.04480665941133311,127.67689180374146
sspo,42,,,0.04213998690981647,129.14870071411133
sspo,43,,,0.04459944101944896,128.38705611228943
sspo,44,,,0.0434345330975078,125.98257803916931
sspo,45,,,0.04355862664311617,128.1375710964203
sspo,46,,,0.04057240288228113,136.55837607383728
sspo,47,,,0.04305900497785109,141.63365030288696
sspo,48,,,0.04252306351467703,135.72058296203613
sspo,49,,,0.04351414821103933,135.30568504333496
sspo,50,,,0.041779651612159796,134.18636798858643
sspo,51,,,0.04157631344308479,125.2267861366272
sspo,52,,,0.03890316396042289,124.67981386184692
sspo,53,,,0.04163651624945112,139.27456736564636
sspo,54,,,0.04102639582887564,122.04456377029419
sspo,55,,,0.04008430833020421,123.28793907165527
sspo,56,,,0.043188454291380164,126.38705086708069
sspo,57,,,0.041849004010200315,129.52449202537537
sspo,58,,,0.04080665472578566,122.1329619884491
sspo,59,,,0.040946142970267885,122.31495094299316
sspo,60,,,0.04100925073259138,123.36899590492249
sspo,61,,,0.04199446404788038,120.74850106239319
sspo,62,,,0.04129547778553496,122.43661093711853
