phase,epoch,val_mse,val_mae,val_regret,epoch_seconds
warmup,1,0.00761696444250949,0.06958301724004212,0.07922755102470601,529.3464970588684
warmup,2,0.008153961832398799,0.06942608085141252,0.043934660515564,528.5489709377289
warmup,3,0.007353253851978303,0.06510599264736051,0.02348797802137393,538.9372849464417
warmup,4,0.008627540614358636,0.07123880991851216,0.027154757051686094,543.3575081825256
warmup,5,0.007010748117307284,0.06405801200933421,0.03164316630940068,694.8178880214691
warmup,6,0.007962358943464707,0.06832640070412586,0.049691583656594825,546.6044669151306
warmup,7,0.007034845649327304,0.0653917505892355,0.04814910379876105,530.3568077087402
warmup,8,0.008227299180389173,0.06919514599131114,0.030110170008756813,529.869343996048
warmup,9,0.008746620966990325,0.07206004332584232,0.03359294806319776,536.0439918041229
warmup,10,0.008004084834133956,0.06817252230621985,0.02600117559860106,529.4243342876434
warmup,11,0.007031540633109745,0.06378767793692315,0.03655404940057913,526.8796169757843
warmup,12,0.007114996878193941,0.06387460545928621,0.04217727175110572,523.2943959236145
warmup,13,0.00883797529577486,0.07320719976812157,0.02791154274109431,524.5760419368744
warmup,14,0.006942094738053075,0.06289904075327205,0.03614568790951818,540.7398707866669
warmup,15,0.007424816833253005,0.06535122386499573,0.042767339770097036,541.0587198734283
dfl,16,0.008194632730933267,0.06976195958568089,0.020361734714948506,551.9654479026794
dfl,17,0.009398828979943003,0.07445481705910234,0.04494937880078953,539.6865901947021
dfl,18,0.009423847091314731,0.07512742583987428,0.03861071818880476,544.6231501102448
dfl,19,0.011218403613736936,0.08336016905507934,0.033654984034272736,540.281012058258
dfl,20,0.011144081620610695,0.08449356663805335,0.03253814226198627,540.2543668746948
dfl,21,0.011090548271174306,0.08367959771360924,0.035517300016276274,522.7873692512512
dfl,22,0.01087674136280513,0.08319561900709992,0.03134126077267539,522.3540570735931
dfl,23,0.011298986172664966,0.08433141111771562,0.03387743552930396,527.5205562114716
dfl,24,0.011092576443273296,0.0831802793736778,0.038434635362625445,517.730525970459
dfl,25,0.011478618183520748,0.08399790100086091,0.04076975982606024,520.2264158725739
dfl,26,0.01104906052107742,0.08356053368257943,0.02684312847645403,517.7833771705627
