seed,best_val_mse,best_epoch,train_minutes,test_mse,test_mae,test_rel_regret,test_peak_reduction,test_lp_regret
0,0.006363204720346674,1,249.4866467475891,0.01207825168967247,0.08577615022659302,1.3211867809295654,8.913299560546875,1.57985653178514
1,0.004325552045110502,3,289.4713871161143,0.006695143412798643,0.055833883583545685,1.264294147491455,5.33391809463501,1.982448004674967
2,0.003927270661815375,29,929.3003228346507,0.008544964715838432,0.06741771101951599,1.4688031673431396,7.503844738006592,2.101014797385726
