epoch,train_mse,val_mse,val_mae,epoch_seconds
1,5.484087836495572,0.015359479808874095,0.10127711296081543,1352.3948574066162
2,0.005825873100591413,0.004624017253657108,0.053295500576496124,1364.3676993846893
3,0.00249447270984599,0.004325552045110502,0.05216211453080177,1506.065081834793
4,0.0016559857148660787,0.00477874946108074,0.0558793731033802,1476.2627749443054
5,0.0012644567881020293,0.005002052853328746,0.05708205699920654,1455.264939069748
6,0.0010515307565913499,0.004932809329622968,0.056759800761938095,1262.7444877624512
7,0.0009151986777993844,0.005037394072512971,0.0571194551885128,1240.071114063263
8,0.0007806489491320193,0.005482917982970239,0.06007624417543411,1290.3718211650848
9,0.0007163921491292735,0.005354380006589162,0.059838030487298965,1345.0609040260315
10,0.0004430702673367206,0.006412763145071135,0.0660097524523735,1272.693890094757
11,0.0004327891544784982,0.006765916056969245,0.06766710430383682,1281.6217789649963
12,0.00042874494328867157,0.0057607137883923,0.06205986812710762,1262.5439779758453
13,0.0004154570374748442,0.006937503514536865,0.06837262958288193,1258.733732700348
