epoch,train_mse,val_mse,val_mae,epoch_seconds
1,5.952171381933844,0.04781331508350906,0.1605226844549179,1276.838500738144
2,0.023375980208214048,0.005132126928143787,0.05401379615068436,1283.939151763916
3,0.0035174570704453625,0.005859194308651417,0.059981122612953186,1268.1616282463074
4,0.002007374177298343,0.006398773594470972,0.06030711531639099,1265.8109550476074
5,0.0014933580725301158,0.006475156047138205,0.060552410781383514,1274.1043801307678
6,0.0011528803836750184,0.005619662742168684,0.05632030591368675,1280.420994758606
7,0.0009703382289654997,0.004987804090114199,0.05363721400499344,1273.3004550933838
8,0.0008139877652240905,0.00513449802763635,0.05518074333667755,1256.0612769126892
9,0.0006830402894401033,0.005371630257829579,0.05702948570251465,1289.4534599781036
10,0.0006274233284717757,0.004593945116607417,0.052362408488988876,1263.394055366516
11,0.0005613832810741019,0.005080689607038677,0.055102281272411346,1294.7525069713593
12,0.0005073044687329149,0.005278522941916347,0.05632157251238823,1719.2455940246582
13,0.0005318238557762027,0.0047472463777365245,0.05317018926143646,1703.3939492702484
14,0.0004734526706525222,0.005010810045615784,0.05497722700238228,1736.8777811527252
15,0.004441838246614303,0.0070984943321586325,0.06656517088413239,1652.717745065689
16,0.0004218416470923281,0.0050193637187259076,0.054890673607587814,1594.7262933254242
17,0.0002356632992347309,0.00433761029658012,0.05023215338587761,1613.4222252368927
18,0.00022377783844188692,0.004351940464511611,0.05066453292965889,1815.3142402172089
19,0.00023192639812763037,0.004220684772225291,0.049570463597774506,1814.903025150299
20,0.0002742395356320347,0.004267193766661795,0.049716461449861526,1734.9745440483093
21,0.00023965449280560173,0.004196002150263721,0.04929039627313614,1755.7437300682068
22,0.00023065144066065452,0.00421499139012477,0.050457727164030075,1896.1265568733215
23,0.0002315763523067551,0.0042181111174573035,0.05031491443514824,1985.4602808952332
24,0.0002439800449138904,0.004218196843007106,0.049558620899915695,1585.3379452228546
25,0.00021026155170500947,0.004382217303352819,0.05159490555524826,1248.8822948932648
26,0.00021579803533257883,0.0042552093490037315,0.05051536113023758,1275.1055219173431
27,0.00020187715878367332,0.004168899579767708,0.05007459223270416,1325.9382247924805
28,0.00019364822004204674,0.004354359332729242,0.05178239941596985,1307.0299141407013
29,0.00019263394816070926,0.003927270661815375,0.04830632358789444,1281.8513748645782
30,0.00018254911401184597,0.004538117219874663,0.05297575518488884,1265.5344860553741
31,0.0001815043915885294,0.004008829950071774,0.049005649983882904,1254.1308329105377
32,0.0001732295708762752,0.004147509274111171,0.04975089430809021,1290.0847871303558
33,0.00016379328290536008,0.004238558863202777,0.050962209701538086,1248.3849201202393
34,0.00021982414313638133,0.00457828112142925,0.05338091775774956,1241.4692387580872
35,0.00016258103833144072,0.00410697735157976,0.04957971349358559,1242.4582738876343
36,0.00010660210278891819,0.004122135446601506,0.04967859014868736,1245.2484500408173
37,0.00010552289673672274,0.004091899529700654,0.049258265644311905,1264.2120242118835
38,0.00010783841160997768,0.004159033479631197,0.04976088926196098,1277.0234093666077
39,0.00010450883792552283,0.004834844808115054,0.054827068001031876,1355.8826570510864
