phase,epoch,val_mse,val_mae,val_regret,epoch_seconds
warmup,1,0.004492713712718782,0.053529874018546364,0.09548331335667062,373.0534768104553
warmup,2,0.003717538060571776,0.048425141221551754,0.07471188543444332,382.24935388565063
warmup,3,0.0029820458483082977,0.04236496641620326,0.05908588063401488,384.28085494041443
warmup,4,0.004551299879806978,0.0511808650873935,0.0793776765622984,373.05126571655273
warmup,5,0.004109314619824151,0.04922238685913495,0.06324096964578815,374.1495740413666
warmup,6,0.0037631356733357673,0.048547227575040576,0.06314742848461272,378.4040861129761
warmup,7,0.004449386896353576,0.05198970970822804,0.08095163337490174,382.59475803375244
warmup,8,0.003788098848838387,0.04699355981020785,0.06160363130038604,378.0486431121826
warmup,9,0.0036649905086960644,0.04548795835406923,0.06343997988961515,381.77593517303467
warmup,10,0.0036512416576334177,0.0457145195287555,0.06821352465524783,377.3660559654236
warmup,11,0.00360172553250302,0.04591478927255566,0.0737561659102064,377.2968099117279
warmup,12,0.004002490506590859,0.04663516068136069,0.07063460589426486,366.3938386440277
warmup,13,0.003396555244463927,0.044161524929439845,0.08445190792771251,376.67234921455383
warmup,14,0.003323852374746617,0.043923786327020445,0.07533356026918349,378.87958812713623
warmup,15,0.003745021702071874,0.04599690424806591,0.07481595957582232,378.675341129303
dfl,16,0.005003627545613823,0.05353580500040926,0.026201014361470414,374.6797688007355
dfl,17,0.03706708297467054,0.14634304015494104,0.02771526742826473,379.58163833618164
dfl,18,0.05955968612332398,0.1947873093521417,0.017430042330950038,370.86472606658936
dfl,19,0.07328095945265534,0.21780841653026753,0.003738160306308648,377.58299231529236
dfl,20,0.0793749566864111,0.22162073094453386,0.010322802871928955,371.04702377319336
dfl,21,0.08561380641229117,0.24037605724227962,0.030346152815405703,377.72255516052246
dfl,22,0.16539521623792044,0.32514997660668926,0.034386543929438414,392.44917583465576
dfl,23,0.1960379648119656,0.36526218779496294,0.016893787271953047,387.01930689811707
dfl,24,0.23597962708115133,0.38753332436751964,0.02253337140650525,376.44620394706726
dfl,25,0.8475352567968084,0.8286717124839327,0.002763385466069075,532.2311480045319
dfl,26,0.8532929367093898,0.8354302337810174,0.010935566907704272,602.4337179660797
dfl,27,0.6410515804344149,0.7161612192641443,0.04696726862678575,611.5998718738556
dfl,28,0.5585476687150215,0.6500204752630262,0.013803274970534891,622.997622013092
dfl,29,0.8767155246503318,0.8633533936383119,0.05766912765232777,614.0413031578064
dfl,30,0.8385251415754432,0.8495133261182415,0.0781975300198963,604.5020363330841
dfl,31,0.3981521992541071,0.5079700882310298,0.0050462542843644174,613.0467231273651
dfl,32,0.362143246262376,0.4856862750516009,0.002979209787975093,634.8057799339294
dfl,33,0.3691327082021023,0.4832044955509812,0.00881017604994817,641.6718080043793
dfl,34,0.4802650865445386,0.564650517346254,0.0340948557963772,629.3263201713562
dfl,35,0.567737080935222,0.624562412277976,0.0314119421258402,636.781849861145
